,level_0,index,path,Xmin,Ymin,Xmax,Ymax,label,fig_num
0,491,1292,E:/cqCTC/data/PWH-LCA/AC-035/,204,1095,209,1099,dead,2009
1,488,743,E:/cqCTC/data/PWH-LCA/AC-035/,375,586,378,589,wbc,2040
2,48,48,E:/cqCTC/data/PWH-LCA/AC-035/,1189,328,1191,332,epCTC,2057
3,49,49,E:/cqCTC/data/PWH-LCA/AC-035/,242,1069,247,1072,epCTC,2060
4,106,230,E:/cqCTC/data/PWH-LCA/AC-035/,562,274,566,280,mCTC,2012
5,45,45,E:/cqCTC/data/PWH-LCA/AC-035/,881,411,886,417,epCTC,2023
6,46,46,E:/cqCTC/data/PWH-LCA/AC-035/,446,369,450,371,epCTC,2031
7,24,82,E:/cqCTC/data/PWH-LCA/AC-035/,679,1287,685,1293,bipCTC,2005
8,386,1701,E:/cqCTC/data/PWH-LCA/AC-035/,660,1089,663,1092,debris,2058
9,47,47,E:/cqCTC/data/PWH-LCA/AC-035/,859,635,862,639,epCTC,2033
10,108,232,E:/cqCTC/data/PWH-LCA/AC-035/,563,1314,567,1318,mCTC,2034
11,486,741,E:/cqCTC/data/PWH-LCA/AC-035/,886,253,889,258,wbc,2015
12,487,742,E:/cqCTC/data/PWH-LCA/AC-035/,982,158,986,162,wbc,2024
13,502,1303,E:/cqCTC/data/PWH-LCA/AC-035/,21,673,24,677,dead,2050
14,489,744,E:/cqCTC/data/PWH-LCA/AC-035/,821,1221,824,1225,wbc,2047
15,387,1702,E:/cqCTC/data/PWH-LCA/AC-035/,146,390,149,393,debris,2061
16,298,553,E:/cqCTC/data/PWH-LCA/CKC-028/,118,704,124,707,wbc,1239
17,314,569,E:/cqCTC/data/PWH-LCA/CKC-028/,542,382,545,385,wbc,1303
18,295,1096,E:/cqCTC/data/PWH-LCA/CKC-028/,416,282,422,287,dead,1273
19,311,566,E:/cqCTC/data/PWH-LCA/CKC-028/,516,661,519,664,wbc,1287
20,286,1087,E:/cqCTC/data/PWH-LCA/CKC-028/,732,62,741,71,dead,1250
21,315,570,E:/cqCTC/data/PWH-LCA/CKC-028/,779,330,783,334,wbc,1306
22,320,575,E:/cqCTC/data/PWH-LCA/CKC-028/,438,679,441,682,wbc,1315
23,297,552,E:/cqCTC/data/PWH-LCA/CKC-028/,875,205,879,209,wbc,1237
24,318,573,E:/cqCTC/data/PWH-LCA/CKC-028/,1127,436,1130,441,wbc,1312
25,307,562,E:/cqCTC/data/PWH-LCA/CKC-028/,742,331,745,334,wbc,1277
26,308,563,E:/cqCTC/data/PWH-LCA/CKC-028/,788,203,792,207,wbc,1282
