,level_0,index,path,Xmin,Ymin,Xmax,Ymax,label,fig_num
0,13,996,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,803,1309,808,1315,debris,18
1,2,47,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,1230,533,1234,537,mCTC,89
2,1,46,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,806,867,811,872,mCTC,23
3,9,104,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,606,267,610,271,wbc,49
4,74,1057,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,1190,1133,1193,1136,debris,111
5,57,1040,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,507,197,510,200,debris,86
6,31,1014,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,1204,1128,1207,1131,debris,46
7,19,1002,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,549,572,552,576,debris,31
8,46,1029,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,646,1339,651,1343,debris,65
9,28,1011,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC103/,227,655,230,658,debris,43
10,46,91,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,320,1007,326,1014,mCTC,1972
11,829,924,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,297,675,300,679,wbc,1971
12,778,1761,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,582,1182,586,1185,debris,2020
13,824,919,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,923,1124,927,1128,wbc,1965
14,49,94,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,466,450,473,460,mCTC,2016
15,834,929,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,686,813,689,816,wbc,1981
16,765,1748,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,372,1103,376,1106,debris,1995
17,764,1747,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,1040,1091,1043,1094,debris,1992
18,772,1755,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC105/,846,1278,855,1288,debris,2007
19,0,34,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,68,741,72,744,bipCTC,164
20,3,48,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,702,671,708,681,mCTC,234
21,128,223,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,483,564,486,567,wbc,263
22,25,120,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,1052,353,1055,356,wbc,120
23,186,281,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,484,459,487,465,wbc,339
24,51,146,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,994,932,998,935,wbc,159
25,107,1090,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,155,342,159,347,debris,279
26,100,1083,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,79,476,83,481,debris,249
27,163,258,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,483,1073,489,1080,wbc,309
28,84,179,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,276,333,279,336,wbc,203
29,95,190,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,743,1248,748,1252,wbc,214
30,102,1085,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,1049,1065,1052,1069,debris,255
31,0,0,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,469,1231,476,1242,epCTC,196
32,179,274,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,1247,698,1251,701,wbc,329
33,119,214,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,1330,880,1333,883,wbc,245
34,58,153,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC107/,598,147,605,155,wbc,168
35,585,1568,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,762,328,770,337,debris,1308
36,21,66,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,677,502,684,508,mCTC,1239
37,39,84,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,1216,898,1222,904,mCTC,1339
38,22,67,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,790,1302,799,1307,mCTC,1242
39,23,68,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,767,170,773,175,mCTC,1248
40,19,64,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,915,491,920,496,mCTC,1237
41,28,73,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,1081,774,1087,779,mCTC,1261
42,20,65,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,290,693,296,697,mCTC,1238
43,417,512,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,1193,534,1197,540,wbc,1336
44,27,72,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,308,1243,313,1248,mCTC,1257
45,397,492,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,1166,370,1169,374,wbc,1240
46,568,1551,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,854,1219,857,1222,debris,1266
47,569,1552,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC110/,132,575,138,582,debris,1267
48,780,1763,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC112/,451,464,454,467,debris,2022
49,709,804,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,560,694,566,701,wbc,1729
50,637,732,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,556,408,560,412,wbc,1630
51,719,814,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,356,436,362,447,wbc,1739
52,438,533,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,455,368,459,372,wbc,1363
53,465,560,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,344,997,347,1000,wbc,1399
54,746,841,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,671,953,674,956,wbc,1771
55,723,818,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,927,291,930,294,wbc,1743
56,558,653,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,323,1072,326,1075,wbc,1527
57,434,529,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,646,1298,650,1301,wbc,1357
58,699,794,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,753,1150,756,1153,wbc,1716
59,665,760,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,1332,811,1335,814,wbc,1671
60,666,761,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,419,940,424,944,wbc,1672
61,629,724,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,486,658,489,662,wbc,1617
62,441,536,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,317,306,320,309,wbc,1367
63,430,525,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,209,642,219,649,wbc,1352
64,691,1674,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,825,1105,829,1109,debris,1801
65,650,1633,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,295,399,298,402,debris,1596
66,640,735,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,1161,622,1165,625,wbc,1633
67,424,519,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,751,1196,754,1199,wbc,1346
68,676,771,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,966,734,974,741,wbc,1686
69,747,842,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,247,1047,250,1050,wbc,1773
70,462,557,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC114/,254,691,259,695,wbc,1396
71,222,317,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,416,136,423,141,wbc,490
72,168,1151,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,742,1288,745,1292,debris,435
73,221,1204,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,530,1294,534,1298,debris,517
74,147,1130,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,988,844,997,851,debris,396
75,342,1325,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,777,992,780,995,debris,707
76,245,1228,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,1261,938,1264,941,debris,551
77,313,1296,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,889,923,892,926,debris,659
78,154,1137,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,452,332,455,335,debris,409
79,315,1298,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,324,790,327,793,debris,664
80,238,1221,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,521,1123,525,1130,debris,539
81,248,1231,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,673,1237,676,1240,debris,554
82,193,288,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,989,676,993,680,wbc,352
83,197,1180,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,865,146,868,150,debris,474
84,142,1125,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,490,1297,493,1300,debris,388
85,260,1243,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,749,982,752,985,debris,577
86,275,1258,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,892,1279,896,1282,debris,605
87,3,953,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,308,355,312,360,dead,408
88,267,362,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,446,102,452,107,wbc,627
89,223,318,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,448,869,453,875,wbc,497
90,125,1108,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,263,312,266,316,debris,357
91,229,1212,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,437,952,440,955,debris,527
92,1,1,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,655,390,662,400,epCTC,383
93,3,3,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,281,350,286,354,epCTC,477
94,221,316,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,1142,1097,1145,1100,wbc,489
95,245,340,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,858,374,863,382,wbc,569
96,256,351,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,134,906,138,910,wbc,591
97,308,1291,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,520,118,523,121,debris,654
98,259,354,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,653,1011,657,1014,wbc,603
99,2,2,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC116/,582,902,588,908,epCTC,469
100,717,1700,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC117/,880,227,883,230,debris,1854
101,707,1690,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC117/,835,749,839,752,debris,1836
102,40,85,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC117/,916,1185,920,1191,mCTC,1838
103,33,33,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC117/,22,842,27,846,epCTC,1871
104,697,1680,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC117/,411,148,414,151,debris,1820
105,383,1366,E:/cqCTC/data/Breast_Cancer_(OHIO)2/BC118/,578,1093,581,1096,debris,756
